cpf,numeroConta,numeroCartao,Ranking
49646265355,3557965138984952430,3168379519170277025,B
74691277567,8174324911867523190,5898534286050144104,B
36030402371,6353363556176698438,7067497006247070360,B
91483044613,3453998155060417974,5420543181406991122,B
92399596201,7825152089841013705,1418591284650626664,C
57559757159,7777801709443191723,4214695909306712262,B
27777634451,8696419359966870612,7263586126095030699,C
28221585564,2666230427949453364,2008866879798567960,B
14122614774,9488549556450353489,6842050441435730764,B
26065703861,5667399788799716425,6137001189409740212,C
16554754036,4844112551471676437,4658923205568564181,C
49284748383,5917334366382956086,2959455602451864457,C
25359664783,6266688252848009349,2384884468366612074,B
40873861390,5140866177919056280,2020500977410588558,B
66470283921,4806912250055987593,7648670010826603369,C
11913760463,5367045490052513028,4055187691301086288,C
65830476220,5117895806314266282,8419889763392481075,B
62482160174,5850803576385096661,9556639730201467209,B
35593598545,8374228665253312835,9222986173460449841,B
35002335243,5933392477332955567,5763300085931038227,D
80059823960,5819040728936300627,1357079846886082169,B
21650051491,1930986343113335126,6673099902090414975,C
93944732619,7267810945301390861,4918527935620507263,B
66461977793,9779860443682000999,2801247560295659389,B
70551089367,4124524340385168343,6013816641456058114,C
73362019222,1448129741028592216,2907251785383872014,C
36873537808,5320714722167527236,5006680372982647862,B
98074128391,5515728933158999519,8816277401356463460,B
89630019825,3804055291151903744,9596405254804797332,B
71084806210,6949881245716580796,3144624482602581875,B
96505602914,8617606012221207230,2567777414455455106,C
57156996054,4437977434573327058,7617415204012498302,B
53176979098,8678361352001379073,7487914589523358539,B
30757172197,5948646533197917035,5395322188808510961,B
52391642858,3498530406042466926,1521811650634770892,B
79083924587,2101518049096457130,5969168151351792336,B
45449832515,3619880676444619218,3691153423211439584,D
66544973670,3071758569788494435,2556161044543396861,B
95109063368,2630221663009547554,3546444900482958704,C
73870557271,3841264419892497388,7265465605861642037,C
64215765871,6771773340392019982,7944890415854529985,C
26948585726,1900754308815274576,6594977793239498051,B
48298845372,4664430710817360570,3455239194247835389,D
51130144367,6602932225673041070,5849721503687622272,C
64257057344,5727588416069574584,4369520303296559548,B
40921473341,4459962960238992790,2581362083352869297,C
34640829113,7515822883406936709,4728796662311826611,C
16090094353,8396811260237002597,7269555969273179821,C
29068301371,4168717005275298032,3536754487547648575,D
43740900962,1274093034179557557,6673074064454179296,D
49350662083,2367166020092862135,4080445219422333945,C
92684247848,1527403883684140265,4678245539085773198,B
41502075886,7988202693539007877,7335125767134919369,B
97683476639,7062771999514846737,3832875206249055553,B
41706520370,5175457175566400089,6563544185810190115,B
95244022245,2125571469783839172,2494285189975845659,D
60140358955,4283434332134439348,5733111632313260221,B
12432121694,3724769410641227275,1435520406399278575,D
16398008961,4704949528356541792,3459409515984036239,B
97519996641,5583863613231159095,2863815471722170162,B
61284244473,5546257362707180321,3820895918296518629,C
16898612153,9778261029533902201,9507906436736182584,C
37552760013,9450082264693283665,1822583190209081846,B
49356459908,8017322943705030568,2070643468870827122,D
60430129330,5941007693551566805,6198909158046356655,B
16674724927,8491284791286184613,7767770517766068495,B
89010170797,1222304002430304697,4453424009192837203,C
21842147506,2122740267720971199,8785030367151406095,B
21672753516,9053998706297147263,5106262341748042174,C
32667027155,6325987027841760551,4162551213120050324,C
33085277957,7976431301907539224,1738730521126987925,C
51576615913,5158674326143596814,9772057036817411504,C
86817437634,8086227184888131187,2214159738199897644,C
73898366127,3275407392814622957,9695663465613303039,C
42524481603,2675626437817066510,2740220675786586326,B
36386960480,5845961553337658973,2996897374092731795,C
66555763294,5441317337951208717,8880880762143461184,C
88514790835,8096952740879158432,2389274411577393543,B
98608906943,3131575298651420320,7018166797651678933,C
60518159877,3816510654627679463,9496584174352778613,D
60359379587,8971952303759268445,8252570184247364590,B
41391603192,3367138356781139280,8881605347270366243,C
77619642402,8242751224776724720,2949114601611467560,C
17273356225,2554695024322790160,9538482008702310315,B
56895013982,7427318738548584426,9111507604890329333,C
71194707817,4705710232689507578,9831167889395621358,B
96380041905,6515690560814872253,3273761391895254939,B
13283186193,7664583381379669224,8517159259648179957,B
74974510720,2721175227440453654,4016878555924666457,B
28325298279,1312800841601681144,9879523836697839437,B
52098839941,4032728861528501038,2459409760754392600,C
15342957000,9894051658540478393,7303663845458175507,B
26737279003,3784501346658640327,4754699651467550974,B
11228228031,4880493891260567873,9506734457180374226,C
60371756668,5232556954949634381,4647489200242366470,B
25784636900,1176202969111834889,3037056090312083056,B
31296724569,6615894828333770871,2306163045491193456,C
85266976506,8358777199761995241,2463831947539077183,B
96647476191,5741588402916080508,7885756718335907520,B
11563722864,4580578159434945479,8519690805523197840,C
40893581560,9031375720486953166,2691508708178219787,B
60944754008,3298873934709917794,6664516806415100102,B
31789251009,4043956876068793194,1185632248714727937,C
66965998529,5111432956058377435,6288699482419056440,C
13370554516,5195444637438117743,3084534669528403804,C
98991916696,7591970676237714960,5218564134184726837,B
24149666571,4597233239856055682,3454444890543395850,B
53479449240,4608189196460330108,7875436285405537315,C
85233314029,7832423304458558477,5213759701896235526,C
35606601499,2339596927745965818,9739676752214122732,C
53311813723,5253117592621212289,5434497293003429957,C
92844822798,3309883441430661102,8323528423282470881,C
15662682950,6183862009921939057,3925383595549363413,C
20196683653,3095381685581628951,7743298359945414910,B
47492762101,7119341155075784153,6608328444979236383,B
79638401723,5501147779160299010,8779332449663523847,C
41006245396,3775205370627752823,4745983455088323487,B
73648111148,2378626720410430031,1306941115539971016,B
19956208312,4238343886180239229,5756041045274326212,B
29137636755,4974769275910180531,7857052851639924613,B
78280397998,8134247857947169789,3797386446214306851,B
14420539541,3033321128823497299,9842652251153540045,D
21040449760,7746368048749833143,9518751731753570458,C
82247771812,8800811803204862425,6332852579897005540,B
50374343777,7043519127325036138,9050013601179468549,D
13755091534,9363809748674666801,4734701629359800966,C
63472360476,5763344741768355294,2043644256850007704,B
36255513237,7843115601699933011,9587577441856822788,C
29974055764,1179545259692783926,2928878402358764260,B
62387748393,2363802089914720914,6346077094631033799,C
44906634023,8344704260426979153,4698755208271220938,B
45400826961,3088709640525367752,2602238265450256868,C
82042400843,5885938248375190302,4134468169955233366,D
85821213419,9220604748789532675,8371918101338043613,B
81196910164,3597731628711216299,9673628710549305260,C
79616599230,7795982135067747386,1705120511619792669,D
98399249201,8358789008541923060,4694903654404604306,B
40911800242,7551091915251075849,6906554187453889469,B
14017573844,9841704734687074580,4161474105521642926,C
24237162271,2025330940861868633,4138778328371597808,C
76801705514,1667479048498152336,2411714728994255540,B
32878916642,7620051975831716513,4605293904905239146,C
86946816156,3478897818671488901,5545670291817909446,B
65566327776,6049601357793088264,5083122742464953294,C
35254562922,1289570595409658560,5074018327687448218,B
50715790357,8281082378149730570,7553206244483274813,B
47200963806,8581123261348860543,5823584593887060477,B
36695806189,1851826584179249321,8687549399934269268,C
28318614815,8947864000256112071,4442239888044810234,D
55633510683,5111722613734746912,4589499430756961517,C
55627077033,3811476102976372384,7333109517685926102,C
17428559552,3390394356644849008,3253403451525005346,C
88917140211,2741089181195566041,5603640664382428224,C
20440269974,7485337002014187017,9127546097562885933,B
91303261505,8337503061821137543,6792859918209389258,D
68662374862,6977555793547699630,6594643634657399859,C
85654789429,7677686315655594788,8519801036884018680,C
91177863921,7046949340991423764,2606428738892671283,B
66308662813,8661398900645833302,7286979350234099770,B
98300358469,7336966555649955240,9271510843212426019,B
46624227714,5846692781942293470,2526080218826299683,B
45453453902,7834149481145004102,7991034357273932105,C
26813797938,2067828613046575263,8979911700308998428,B
86154506259,5022946888375805853,2956324051588554874,C
33791286394,8366869714051580411,2522912157706471519,D
22176526127,6673906542420131092,4742770378230274633,B
35022060334,4551068867009673050,2192648945489270722,B
72315704106,6027159689072335627,3442002944319712576,B
78977554128,4944347565274786401,6393193797727471008,D
54262348045,4009492954347991402,4412956405943470854,B
95651591337,5386273133354013107,9753139715853814995,B
75185598815,4819982671362657618,8585359000250485081,C
95015746185,3303137181688280114,3482540942934533516,C
71674006234,5438382445615669215,4080566938759076503,B
51777653848,4194951740378123774,3305524911430339696,C
12304541099,1857625532609154806,5220962436211027005,C
70035245755,8499899801187168279,7332560260854030775,B
17537883681,5432522608598409783,3661040488410005065,B
89779811917,4671062747347261054,2436581877331954753,B
12301716794,8952278843544859274,7694385971401022865,C
56054703019,6551826329006635676,2864209448152786856,D
95714381432,8050483229837283230,8568516538371913840,C
21449990584,7855941818283306930,6571765660777832608,B
75760910748,3389902473162440791,1872466903072409605,B
73594265438,7728819938413100848,3056805856620328923,B
35212419612,2461323016120224164,9157871852564177639,C
35461682598,6465016851615986590,9841327894126768973,B
67036313144,8542973591079390534,6308259733392718628,C
32622792002,2102515488595544770,1180283305158312240,D
63564962038,7215085599822857475,2766374246732208113,D
24692747652,7784885460954176440,7864103934791286553,C
20395767134,6821971514826366548,2994291787861494707,C
52794888618,3535987522320885107,5082185276939313458,C
99855625507,3901346313648037392,9471327025827858518,B
35043716668,3153378575957323815,8398705384720657733,B
71123609971,4979816675290727063,3321726640083638584,B
52597105143,3968515016607381732,7876950668544178808,C
84339890216,2594398202248272897,7577300988083436862,B
66630133639,3391891569812971502,6186133624258353646,B
29679186136,8911316726784388246,5487143299412488751,B
91106397787,2588462535109937692,6762234074421472124,D
66431462471,3758372619299959545,2303510012925282690,B
46277634367,5242467786402728306,8790707050454364465,B
59336264775,4421108970562568537,8136821533368630847,C
99410581548,5897627878860714826,6438831084781400539,C
54890984775,2572617719220201679,8020165405174563605,B
29152680812,1748901951442717996,1573708860664943818,B
20704529478,2946367805520674761,9983050295966076707,C
90753414189,9212804072943347595,4654995051171095030,D
91919708694,4184661159520024450,1938372459311782169,D
99188887881,2190696663369873362,5112213628407324292,C
55027718463,6487798846577746636,7249220395043563858,B
44237544854,1756665700256714189,6437997193280956382,B
45836985235,1460758129523033254,5512290364506683108,B
35511839959,4613032824079450446,4275961578853955768,B
69795366760,7118863349292396955,1929271921313496856,B
30738622687,7595699938363489520,8648724184098150473,C
60639624952,9949698106237296844,5159364817792434005,D
57929092546,2053001413100743397,7893202020513082576,C
76399550856,8483518715649573284,7655843816321625151,B
44725031171,5987256958000541107,4282688293661133647,B
44907884878,6063219784292809770,4083023207009094158,C
91019319849,2068193705693229627,7904214216135820662,C
59081267404,9825682384211930428,8976217199195773738,B
75845889887,9339214333745255105,5542214574651922510,B
36826905522,3502644051559371810,5399365082265930928,C
92120956336,3977279583099675016,5027579520295257661,C
82312289338,6820090661671726276,3281302818869970299,B
52662458454,7977459881253195737,3918184669449777441,B
15216276993,5583486761911876242,1544715578382827655,B
59048435415,4041895251921876140,5124501214252630061,B
95379711543,3870453125600209018,8049271569328207445,C
53180077510,6583608052489896626,4269870953144741322,C
26372956143,7175503837691795338,2601787326138055921,B
18370932218,2582379742988787728,4493222304211326632,B
92255737855,8996179732861577780,4469968000705609823,D
14372243679,7581583766607888902,5808996247935380368,B
38525543958,6048467833244554423,3983320965448373187,B
97697241039,3071839257396156843,5547129813421493728,D
43407326722,7150796791927280514,8930909987636018078,D
71957233586,1351798434562873664,9504548308886695883,B
73784849491,5680127089171196262,6341739114376473443,B
88514470137,6237035714036395321,5781058450010286321,C
25776492467,5492682222145697303,7517242813185009460,C
51811876353,7690679955250595257,8068515011703108606,D
42836071327,6451205386629374401,8909345054865023651,B
96150202321,9236716938135388947,5763441616643558367,C
99220592733,4347169507677406895,9094786280077073658,D
99731214790,7976713627376116688,3983833653398984158,D
92717795768,8090471554116871024,7723368906281867654,D
53802085840,7631447103624282398,1199380565636526745,C
14810461976,4326708876882319653,3815796719075833719,B
61038728157,5763413340517487901,2549296669352934199,B
50269201687,6812098340794917674,3213597399639347916,C
59479415517,8560244636635769147,9596342895826770505,B
13928128940,1766956569299192362,3922213009621661007,C
49495410892,1962659881839012583,1607441594129492225,B
25391319423,7650146214527238972,5477361271413697336,C
62092130639,8901611357559626238,7584566268370094530,B
85452111854,8049192592713882754,4416542747047619037,B
50117631074,1380483661350658952,1798139881679529431,B
58632868560,4748357323910170089,2404424506815155858,B
69387604139,5238285170225664524,4071678194358318156,C
47109223052,2569613398625998880,9856638076909261865,C
85088369067,4938165795503544844,2560044314377954087,C
82226820702,5091119414388280935,1480975137850156444,C
66526276227,2732497617673560728,6634249921235787038,B
37577936560,2220510160020140781,4404681594060162166,C
28478654029,8571539362929250365,1837611733555764848,B
41625417015,6456490696560095865,8413139730339379238,C
18593818653,1514872406198322391,1338826556592949514,B
85012386496,3590286650796521727,3834897115637541615,B
24134537253,9875326911380906861,3283821472801833961,C
67081023397,3513491062267327472,8041724454155874059,C
74592138693,7054582797268332295,6085125893196766737,C
38753926635,8094823203265269745,2654437512294725886,C
36135940887,7576293850323795533,5378497588565668401,B
48694634044,8673126076373431547,7574770137287849004,B
41820353198,7272718719092929585,4203792973451246986,C
83626573745,1223373497123473602,4141961361757761428,B
87228318342,6832412277934256192,4985046979874698349,B
95517786216,5315034325597822044,8800968465016371311,C
76055403776,3257487222262511827,1941702696009033012,C
98701448878,9607051735039679209,7371408620607099019,B
21466259329,2127757247264336327,2895706970799005809,B
37151932073,1827754546208046007,4079029122127257861,B
89157527314,7974383738356214020,3395477409733602324,B
73046265363,9936134588601505989,6521071150295991720,D
34217136346,1142930115985966313,3667620331697831970,B
95134230941,6421681391176336819,7306686275484612417,C
55387366380,8744188391819516366,5194511563410804179,B
76266819641,3852004997315708409,4346485680560094209,C
67575985499,8924144724098054566,8726792690762981798,B
77596557932,2165942724856554730,7138900484410268699,C
12050774194,6339726942537735440,1633262031122286187,B
78468180138,5576998132225420840,2881715560299659122,C
18023826468,8502501732458609313,7403117735312843710,B
93759667182,9170617909657181155,5508829259750566390,B
49369899158,2576650654503035427,7117384224125006102,C
12325543019,5774188570701589541,5497279282429097545,D
25403061003,3498139020382002902,2373961018403001668,B
26484859393,4103025286278317087,7425055281675309542,B
17180006632,2046331943990189112,2845434178501849177,B
58567687918,4152159921321741168,6826478032042601898,C
71649644678,1693075113299044048,8207025756765713120,B
59967244724,8234409277642192006,2348950492523157906,D
16167233964,5350060306175280750,1125723312703097767,B
68320115934,1659579286274294666,3954553625486008847,C
54046364898,4612239810316467576,9230479365102095768,B
95682737654,8891606544983375715,9692068700517865909,C
59391253503,3462220932006326813,3438436004223848494,D
98313926220,3194868997967849310,9543673843877282115,B
54351907827,2257339233457983593,2315570613527554856,C
92380812481,3955594072103363317,6148637265805213294,B
81725411954,5801532419882169097,6044555881870871977,C
34868787657,1952185598578162897,5241203117637284569,B
96521706005,7408968330820076610,7683611827786255780,B
25488177850,3497472953143550810,6745853227466005822,B
76730688005,9888289921480928677,7043784846265529249,B
70730691284,2304678565753791394,2368220005244301028,B
47131914145,5575809319158543423,9750866865694963928,B
82244228885,5916271632872417778,9988365727559899359,C
78281624369,2348489688784674814,4060157837471481541,B
97606660443,5814769995780075209,5339723244174770233,C
28590736526,5635460528304411558,4594597048727062843,C
74329809006,4330020641905483768,5561761777838026853,B
21585841650,4910247898633919741,8357018503511212483,C
27385912587,5756962709621031993,6738398726861074829,B
53684185700,2328531994703852861,5825398730419700261,B
68228316825,9112286312881624130,3606872126252401726,C
76711767928,8993971264062084357,5532736920977584164,D
52528968091,8672334671475158414,3180812214737826726,B
54729036702,6579942165861548082,5895244175913174272,D
19892349531,4061694354121359165,8638820101095030972,B
28130842449,1642075977002639149,8958827170222111545,B
30291111098,8016970427782525992,3275250596280777855,C
54346697090,3615023047358482745,2774695191655045810,B
12491146038,6268458562171834664,6907987692444544449,C
50333052072,4962718030382397767,8819696920886161489,C
89262141702,6276949206185175122,3121342709033443763,B
76246171222,8161694304097724263,2774076063228411771,B
36091156372,7868225021219323699,2204110162707477937,D
45328049654,1951562207795568842,8917148892882995451,B
11921450282,9709112342305758670,4904353271977705370,C
89242377380,2201977152804124986,6620477622635374302,C
25299582759,8403309313135092891,3348576456348620556,C
62501928129,9003406654854735957,7081752794937187452,C
42704709204,3845096405963583251,6037055748180250184,C
91769554088,5322516570148729797,2911375409908908678,B
94639041338,6708038184401295516,1223483114489376456,B
65179254472,9337823285352339606,6428863690577260366,B
32587693680,5735744502217196355,5387834922054995637,D
25950313524,8217925569651240849,1876330611777680226,D
49211788691,6521851675838764424,4683403565135103930,C
58188056282,7522518817276208424,4599487132097673130,C
54559301381,9049137492078520733,8520787698122453944,C
64241521602,3732758768140703551,7106098781654524950,D
19486017767,4078160690583615802,2298789553897940161,B
41050233012,2204097069477734654,7544511978588602449,B
87925224888,3796044297120626913,8947934522916364483,B
76789052489,4908990255145388338,7356494672672848034,C
57107306884,4906462307958979607,3784051368918458469,C
85103098506,8689789853631290017,7460631648632316107,C
12189776259,9594850787446857814,2860023744482538478,B
67134293193,4830367189996785376,2346542667796838326,B
21155534451,6538033713904824472,3921686024964675129,B
27389889458,4319032759289243248,6121112104314158055,B
85463567652,4775215968109678932,3044622385041489620,B
90878114086,9756337147177187740,9797034628331512414,C
30939498349,3428038545910524825,2978806508734728168,D
14286091074,9442268797269168640,4769778283966969173,C
85686131404,6556566353854237168,4150890474576471931,B
33978863322,6557219858011904946,5327139076000511700,B
39183115460,3064627330887324530,7472126970795760497,D
38485187382,4836395202411254839,2197875039054416052,B
93395025687,4114749720894869172,3830547383701521678,C
60714302098,5800339768103424763,8803983319690579771,B
76053663157,9683997756165615022,1551241895133087959,D
20759083846,5343566900670771629,1979447147735633425,B
77311557700,7252803417930243865,1992321361528431576,D
23419036676,3378420455406673252,4787687531853752002,D
76620837382,2112348972426764664,6381879488938724797,B
82052510189,1753943433672553207,3570785251798267677,B
94779406013,4355891414247586140,3136494387787407947,B
92173667570,9605302413680169744,2730041902269224761,B
76307576871,2551016989887125102,2223560192697751141,B
39109379767,8755785960492395970,8457746183727153530,C
75287672268,7445516044211157084,1719669181543251415,D
28617839259,2752798598597713372,1198727336151087747,B
64983463672,6111890842666929533,9412237768865889362,C
16167409985,3413904036785138621,7101781756127506075,B
85152087390,9760895149397424879,9658970924445242124,B
19913457678,6989444769581671288,7674554894382511752,B
54411882490,5360210005620417264,1688807209449643331,B
96112939894,2510469617686142513,5786263886015296738,C
11681670751,8861917796377637989,5332660871678029890,B
79972220639,3812371484906066942,5893840821255344943,B
45814125542,7007826738550624397,6339765096631269949,B
94980671674,1665400611386463457,6774269544246325678,B
15444095124,3997013851493464481,8586026800489699080,B
56717185373,3553750064695547884,6882516933900756186,B
26454168287,9955482120229072671,1727514727758687116,C
80318520999,4184516720619121220,4689324538993544234,B
20898104544,4420578248405825965,3085563666742915033,B
53509808951,9686456666733730401,6740902188798722356,B
31527909948,6482354946390549464,6216445906665383404,B
15875808516,3749475123976300204,1212866823147771014,D
80590132616,2177981167479531295,5683276608679084891,C
75546661501,5764466394660146685,9273551779200106716,B
80092638337,8985745065890283244,3180284726490622311,C
20773885438,4907772085459385611,1174394816323771506,B
57229891605,6914107244827345814,3708095545166339195,C
27928161056,1955490796433353429,6906217177348288009,C
39854269228,2683691893024025144,1953507761345528563,C
99741265278,1978576122560786928,4396197876324912280,B
37892156584,3058169377158543597,7600324201723495300,B
24880795081,9229235414173980659,4030987338709517320,C
68226038194,3873892167791926506,8688704262010178662,C
53722943085,5165122883232497452,5324787499453107498,C
91852231396,2753440019939841795,9679102923940115323,B
71629813092,7542025900708233089,9219071543891745239,C
83824862678,4228630819604418477,4136549191759067207,D
36717308473,8706916235604147091,1853650084515427167,B
32043977177,2835970344741328402,3593754969087811130,B
29278689520,6931941704003517189,2398543079761923067,B
98273489060,8344659750284942084,6015900330723375977,B
52384404480,1561506517793865617,7058316411023203963,B
59788548528,7393788352045444105,9891479646529294287,B
29784824287,5646131530437489960,3203262777859292961,D
63750768931,9966236801335473224,6150098520189557430,B
26831841361,4428063883602554344,9033065658620433458,C
99159868259,2552078849550289026,6199639587149666314,C
66444854785,8324345112961661748,2150951909840817159,C
97416760977,3931208026089214246,4206742912815178621,B
18108518938,1428253268332909539,5684491646157479021,C
46268964096,7310990487419934798,6267144257355917496,B
45442883779,5609218914883829581,9272418388412876105,C
46380578259,4172509698882551383,6573078032172742037,B
36277237371,2154390107802419073,9338724216246988010,C
26093133608,6633664591859722689,8530191719174637627,D
68337745332,1510499406614860437,3276202529740913442,C
69733884766,9410685931641282849,2181280542580171525,B
87678731969,5289787837245768519,2244719232623332748,C
87012906306,5314722138562168056,7221697532150478070,C
93089138647,1842959042093145908,3566704377690762137,D
89318252422,5566815630408124976,7686326401642381614,C
51495020785,6801283345282065508,4030177091747458879,C
78678921061,2320232981583911710,8322066071466026403,C
39070006680,4319353191019466288,3996678728608710323,C
37611846264,6134265248620568326,8047914491394574649,B
89081330119,8656360507190156487,5522825598900582904,B
56450138348,5903855898196259421,3411466073017513648,B
47392675832,7712549481039682702,3743198475932722457,B
26697052573,6850666881405501017,8280213988107132283,B
19335873458,8192625578250097234,6509591980386053533,B
63998912609,5273313516587320872,4349455157450831443,B
30123356210,2721382200466072952,3590553711762062069,D
37218691545,9504599780178786048,3742587459008195039,B
51268719698,5740511973959095947,3010017065607137890,D
15222082049,7464237885554163232,1717842355393735006,B
98588711471,7026102538435020643,6678379283859446026,C
19248032667,2997141380490405111,3517982023684107527,B
68612443192,7380546458919851030,7966813029927989971,C
69473287426,6001494286861788051,3970225744542933813,C
29296990370,3852157193732863716,8854749002142926651,B
72744188814,5777379173106369875,5711592993588155307,B
41887513658,9225164009235852878,4674726184203460322,C
45419092205,1947578334956429140,2892263099978230611,C
48906076902,3924843520416549539,1430656527959483041,C
32554584831,8085540867331103435,5634042628954618550,B
85294711968,5106561368782550775,7260149562696770926,B
37171798755,2267648544032409392,2698174909582547627,B
25211698806,4228342521331136824,4914453096786174400,C
52347605954,8002960719291192770,4079046828591116435,B
86806847871,3067933558896386398,8093040399013833129,B
34903657750,5598593706318728325,4289676944556354574,B
56043970340,6326460654996217851,4660349734633682283,C
62288520790,5166428420323503341,8705519028468608443,B
70208233842,5938925311235139686,2991992867056726310,B
19273409241,9596193559241241031,9679209858989664606,B
11493482376,8983818002276696215,6627509505338971521,B
17425404465,4556628085714018555,9317077221847099102,B
65722796607,4322440967104564357,4540787901964171510,C
90150796871,2002603889464618279,6951140483354954477,B
67039169930,1849469404185029241,2440711812104778402,B
57985537701,9494218129720216458,6074830949880585921,B
94156399854,4979212522805057219,2025597734607959481,C
81071121244,8061383395293305897,3831328430776169470,B
71120917847,7549093108882919005,7829749701330044358,C
50990912369,7807711661169210374,7348751225036963576,B
49845270151,8315742073151883634,6298363101035027496,D
42696948360,4852833215446943344,5241193593163587926,B
83417868730,9757204186281057412,9073453768091192367,B
63640920489,5618684260691812179,6423116558551820001,B
48846516866,5982974743083350817,1650724055388093111,B
48383754102,4521351198828448003,6699471720399834131,D
88122461194,9531327178288914205,9473360181853740681,D
88080271983,1685120289692208249,1137818682738183766,B
11549526362,2549300370111615129,5021434268344993818,C
45125233693,3814977740665199550,8241021562825030942,C
32683388482,6823755160588961426,4008164332325913786,C
73545265438,8988315740826254872,5573849595234825508,B
87317270157,2680693166818873847,8245125287538845069,B
61195467266,8451255521637155849,9882539410051985664,B
26894935645,3162174873591378551,2335351095115024196,D
38311478255,5807146117342820031,8537324487019308898,C
22173684818,9029743453350619101,2605769328322073746,B
60476538977,5378076570175958130,7917343729265434822,D
94193498602,2251092636621069887,6351282394734411863,B
85755848354,3671488097888426292,8080166281914774439,C
55711755164,4697184931571472456,4782685271664326931,C
95044645534,7422154368686477927,4518586100082306013,B
47742180923,7373019253571541012,8351309306848267305,C
53989241149,9279876669635250763,5515147950613822632,D
21577875627,7220397799067949376,4367938497393344337,B
28746817740,9029936094884397673,9014309514560341098,B
41816834357,6888194614844822230,7110363247172442329,C
90539157923,1491498753705685528,7248315858783221874,C
55200608276,5364453270128039164,4195653746578867515,B
20615708083,2475229205926156411,1695705562365624250,D
84369239776,6820303390441801749,2555279788954820088,B
98167365784,4066366619455336263,4951745165996978928,B
73819043447,6753828137154727486,3826004695226854297,B
44537561530,8959006956770184815,9911062473073169404,B
23897893771,2570269342925683312,9312816833186554097,B
53662851846,5179799148309750027,7178753072303976183,B
28711884524,7824512993383155844,8319434044880674279,B
95597949815,4950113044979781970,4933493170272927966,C
